dataset,algorithm,seed,makespan,runtime
FT06,FIFO,11,60,0.0
FT06,FIFO,22,60,0.0
FT06,FIFO,33,60,0.0
FT06,FIFO,44,60,0.0
FT06,FIFO,55,60,0.0
FT06,GA,11,59,0.169461
FT06,GA,22,59,0.168977
FT06,GA,33,58,0.167006
FT06,GA,44,57,0.172674
FT06,GA,55,58,0.17307
FT06,SLGA,11,57,0.165835
FT06,SLGA,22,57,0.169838
FT06,SLGA,33,59,0.168101
FT06,SLGA,44,59,0.173598
FT06,SLGA,55,57,0.172174
FT06,CP-AOL-SLGA,11,58,0.172838
FT06,CP-AOL-SLGA,22,58,0.165283
FT06,CP-AOL-SLGA,33,59,0.172158
FT06,CP-AOL-SLGA,44,57,0.172075
FT06,CP-AOL-SLGA,55,57,0.178679
FT06,DQN-AOL-GA,11,55,0.23689
FT06,DQN-AOL-GA,22,59,0.238279
FT06,DQN-AOL-GA,33,55,0.227839
FT06,DQN-AOL-GA,44,58,0.238432
FT06,DQN-AOL-GA,55,58,0.239514
LA01,FIFO,11,858,0.0
LA01,FIFO,22,858,0.0
LA01,FIFO,33,858,0.0
LA01,FIFO,44,858,0.0
LA01,FIFO,55,858,0.0
LA01,GA,11,693,0.221543
LA01,GA,22,757,0.215974
LA01,GA,33,791,0.222353
LA01,GA,44,727,0.226028
LA01,GA,55,764,0.214042
LA01,SLGA,11,716,0.218351
LA01,SLGA,22,742,0.227025
LA01,SLGA,33,749,0.231103
LA01,SLGA,44,711,0.22737
LA01,SLGA,55,733,0.222131
LA01,CP-AOL-SLGA,11,758,0.237365
LA01,CP-AOL-SLGA,22,716,0.232271
LA01,CP-AOL-SLGA,33,774,0.232096
LA01,CP-AOL-SLGA,44,742,0.231446
LA01,CP-AOL-SLGA,55,750,0.227341
LA01,DQN-AOL-GA,11,716,0.30638
LA01,DQN-AOL-GA,22,717,0.304305
LA01,DQN-AOL-GA,33,752,0.297388
LA01,DQN-AOL-GA,44,700,0.305646
LA01,DQN-AOL-GA,55,720,0.308423
LA02,FIFO,11,904,0.0
LA02,FIFO,22,904,0.0
LA02,FIFO,33,904,0.0
LA02,FIFO,44,904,0.0
LA02,FIFO,55,904,0.0
LA02,GA,11,734,0.223433
LA02,GA,22,796,0.219179
LA02,GA,33,803,0.223017
LA02,GA,44,766,0.220392
LA02,GA,55,737,0.226265
LA02,SLGA,11,766,0.228112
LA02,SLGA,22,738,0.231229
LA02,SLGA,33,735,0.236341
LA02,SLGA,44,744,0.229466
LA02,SLGA,55,716,0.224235
LA02,CP-AOL-SLGA,11,777,0.233049
LA02,CP-AOL-SLGA,22,748,0.244044
LA02,CP-AOL-SLGA,33,747,0.222863
LA02,CP-AOL-SLGA,44,740,0.229755
LA02,CP-AOL-SLGA,55,733,0.235898
LA02,DQN-AOL-GA,11,766,0.306615
LA02,DQN-AOL-GA,22,739,0.30724
LA02,DQN-AOL-GA,33,734,0.301032
LA02,DQN-AOL-GA,44,791,0.298799
LA02,DQN-AOL-GA,55,742,0.308213
